iter	Passed	Remaining
0	61	61098
1	65	32646
2	69	23083
3	73	18190
4	76	15164
5	79	13172
6	83	11846
7	87	10846
8	90	10004
9	94	9336
10	98	8846
11	104	8600
12	108	8218
13	113	7998
14	117	7740
15	121	7483
16	125	7260
17	129	7069
18	135	6971
19	139	6817
20	143	6709
21	149	6626
22	153	6509
23	157	6388
24	160	6261
25	163	6138
26	167	6026
27	171	5952
28	174	5854
29	178	5765
30	181	5682
31	185	5609
32	189	5540
33	192	5465
34	195	5398
35	199	5334
36	202	5274
37	205	5209
38	209	5157
39	213	5121
40	216	5069
41	220	5024
42	224	4991
43	227	4946
44	231	4902
45	234	4862
46	238	4835
47	243	4826
48	246	4790
49	250	4768
50	256	4766
51	260	4753
52	265	4742
53	269	4720
54	273	4706
55	278	4687
56	281	4655
57	284	4625
58	288	4596
59	291	4568
60	295	4544
61	298	4521
62	303	4508
63	307	4496
64	310	4472
65	314	4445
66	317	4427
67	321	4404
68	324	4378
69	327	4357
70	331	4331
71	334	4310
72	337	4289
73	341	4270
74	344	4247
75	347	4226
76	350	4207
77	354	4188
78	358	4175
79	361	4157
80	365	4141
81	368	4122
82	371	4109
83	375	4093
84	378	4074
85	381	4057
86	385	4045
87	388	4030
88	392	4012
89	395	3994
90	398	3979
91	401	3966
92	405	3952
93	408	3939
94	413	3937
95	417	3927
96	422	3934
97	426	3927
98	431	3930
99	436	3924
100	439	3916
101	443	3903
102	446	3890
103	450	3877
104	453	3867
105	457	3855
106	460	3841
107	463	3829
108	467	3819
109	470	3808
110	473	3794
111	476	3780
112	480	3768
113	483	3756
114	487	3750
115	490	3737
116	493	3725
117	497	3717
118	500	3706
119	503	3694
120	507	3683
121	510	3672
122	513	3662
123	516	3650
124	520	3641
125	523	3630
126	526	3620
127	530	3611
128	533	3603
129	537	3595
130	540	3585
131	543	3576
132	547	3569
133	551	3561
134	554	3550
135	557	3541
136	560	3533
137	564	3525
138	568	3522
139	573	3523
140	578	3526
141	583	3526
142	588	3524
143	593	3526
144	600	3538
145	605	3543
146	610	3540
147	614	3536
148	617	3529
149	621	3520
