iter	Logloss
0	0.6903943368
1	0.6870688095
2	0.6839120168
3	0.6804089401
4	0.6773640439
5	0.6746020507
6	0.6720642499
7	0.6690694838
8	0.6664200636
9	0.6636794482
10	0.6611661865
11	0.6584283669
12	0.655767104
13	0.6528641915
14	0.6502117555
15	0.648136777
16	0.645684444
17	0.6432471331
18	0.6409782189
19	0.6384219421
20	0.6361146715
21	0.6340775514
22	0.6318785648
23	0.6293807904
24	0.6270785485
25	0.6252026467
26	0.623002711
27	0.6204471906
28	0.6178045122
29	0.6158324083
30	0.6140716751
31	0.611837946
32	0.609935497
33	0.6078825226
34	0.6065032824
35	0.6042637442
36	0.6020914304
37	0.5993072652
38	0.5975724299
39	0.5956077533
40	0.5938653375
41	0.5921909243
42	0.5903459155
43	0.5885471727
44	0.5870038669
45	0.5847763348
46	0.5830909098
47	0.58100276
48	0.5793605546
49	0.5778346247
50	0.5763869703
51	0.5744132841
52	0.5729130196
53	0.571514518
54	0.5699378408
55	0.5685691941
56	0.5669796182
57	0.5660222745
58	0.5644130317
59	0.5628388925
60	0.5613458928
61	0.5597254808
62	0.558053217
63	0.5565548178
64	0.5548315544
65	0.5537198196
66	0.5524487987
67	0.5512500065
68	0.5500103246
69	0.5487517522
70	0.5476411974
71	0.5461954761
72	0.5448453413
73	0.5430320679
74	0.5416836652
75	0.5402687606
76	0.5384790698
77	0.5371384995
78	0.5356760414
79	0.5344432491
80	0.533344345
81	0.5320586602
82	0.5307393163
83	0.5297891656
84	0.5285234483
85	0.527292924
86	0.5259462595
87	0.5246009011
88	0.5231956235
89	0.5222438167
90	0.5213996542
91	0.5204983422
92	0.5191882222
93	0.5178103364
94	0.5169546117
95	0.5156498093
96	0.51459804
97	0.5136266429
98	0.5127107619
99	0.5116968646
100	0.5106626364
101	0.5098842623
102	0.5092393629
103	0.5083278128
104	0.5073545678
105	0.5062350228
106	0.5050696089
107	0.5042475965
108	0.503225432
109	0.5024578411
110	0.5015678848
111	0.5007971228
112	0.500054746
113	0.4990104689
114	0.4981504169
115	0.4969447288
116	0.4960957279
117	0.4948643894
118	0.493697405
