iter	Passed	Remaining
0	4	4566
1	8	4213
2	12	4003
3	16	3984
4	19	3940
5	23	3888
6	27	3838
7	30	3808
8	34	3784
9	38	3812
10	42	3796
11	46	3814
12	50	3807
13	53	3775
14	57	3762
15	60	3740
16	64	3738
17	68	3730
18	72	3720
19	76	3737
20	80	3735
21	83	3729
22	88	3744
23	91	3738
24	95	3738
25	99	3737
26	104	3750
27	108	3751
28	112	3755
29	116	3750
30	120	3754
31	124	3755
32	127	3744
33	131	3733
34	135	3732
35	138	3722
36	143	3722
37	147	3723
38	151	3723
39	154	3717
40	159	3732
41	164	3746
42	168	3755
43	173	3766
44	178	3784
45	182	3783
46	186	3789
47	190	3778
48	194	3775
49	198	3778
50	202	3775
51	206	3770
52	210	3766
53	214	3763
54	218	3761
55	222	3752
56	226	3753
57	230	3744
58	234	3733
59	238	3735
60	242	3732
61	246	3729
62	250	3727
63	254	3721
64	258	3718
65	262	3716
66	266	3707
67	270	3703
68	274	3697
69	277	3690
70	281	3686
71	285	3681
72	289	3676
73	293	3671
74	297	3673
75	301	3668
76	305	3664
77	309	3656
78	313	3652
79	317	3648
80	321	3644
81	326	3650
82	330	3650
83	334	3647
84	338	3645
85	343	3649
86	347	3649
87	351	3644
88	355	3641
89	360	3640
90	363	3632
91	367	3624
92	370	3615
93	374	3612
94	378	3604
95	381	3595
96	385	3588
97	389	3581
98	392	3573
99	396	3566
100	399	3558
101	403	3551
102	406	3543
103	410	3534
104	413	3528
105	417	3524
106	422	3522
107	426	3523
108	430	3522
109	434	3518
110	438	3514
111	442	3507
112	446	3500
113	449	3493
114	452	3485
115	456	3479
116	460	3471
117	463	3465
118	467	3459
119	470	3452
120	473	3438
121	476	3432
122	480	3425
123	484	3420
124	489	3428
125	495	3436
126	501	3444
127	506	3451
128	513	3466
129	517	3460
130	521	3461
131	526	3459
132	530	3458
133	534	3456
134	538	3453
135	542	3449
136	546	3445
137	552	3448
138	556	3447
139	560	3440
140	564	3441
141	568	3435
142	572	3430
143	576	3424
144	580	3422
145	584	3416
146	588	3412
147	591	3405
148	595	3399
149	599	3396
150	602	3389
151	606	3384
152	610	3377
153	613	3371
154	617	3365
155	620	3358
156	624	3352
157	627	3345
158	631	3338
159	634	3332
160	638	3326
161	642	3321
162	645	3315
163	649	3311
164	654	3311
165	659	3311
166	663	3308
167	667	3306
168	672	3305
169	676	3304
170	680	3301
171	684	3295
172	688	3290
173	691	3284
174	696	3283
175	699	3277
176	703	3271
177	707	3264
178	710	3260
179	715	3257
180	718	3253
181	722	3246
182	725	3241
183	729	3234
184	733	3229
185	736	3224
186	740	3218
187	743	3212
188	747	3206
