iter	RMSE
0	11949.4244
1	11907.40413
2	11858.89004
3	11823.33393
4	11785.89583
5	11756.31113
6	11697.41457
7	11664.51342
8	11632.56331
9	11594.99153
10	11564.82774
11	11536.29172
12	11507.97573
13	11481.00727
14	11426.80225
15	11397.90037
16	11388.85368
17	11363.58673
18	11340.11633
19	11290.44384
20	11265.92741
21	11212.01053
22	11184.54589
23	11173.56403
24	11148.44818
25	11128.39304
26	11119.82454
27	11098.77798
28	11053.39151
29	10988.64161
30	10977.72403
31	10961.23929
32	10942.55844
33	10936.12342
34	10918.41677
35	10907.00187
36	10899.89933
37	10856.46602
38	10838.39363
39	10819.71429
40	10809.81647
41	10792.63931
42	10749.65834
43	10739.37772
44	10723.36525
45	10706.30346
46	10690.14448
47	10669.14287
48	10633.98043
49	10617.92588
50	10606.35589
51	10602.62805
52	10585.10801
53	10556.03684
54	10529.21458
55	10476.69959
56	10459.52942
57	10450.58113
58	10411.5149
59	10398.88408
60	10384.70053
61	10371.36976
62	10367.10753
63	10357.85
64	10354.87692
65	10313.24832
66	10270.40151
67	10234.68584
68	10225.06768
69	10209.11913
70	10205.07667
71	10192.09547
72	10185.73964
73	10150.68562
74	10113.82593
75	10109.85742
76	10085.29886
77	10059.20612
78	10044.82753
79	10031.66239
80	10007.52259
81	9998.366894
82	9988.669232
83	9979.037659
84	9967.479022
85	9933.291195
86	9925.889855
87	9918.912996
88	9916.178012
89	9907.386958
90	9894.747432
91	9863.096395
92	9860.101204
93	9856.057782
94	9852.817932
95	9849.9912
96	9841.154137
97	9814.343033
98	9809.941513
99	9800.404007
100	9769.169635
101	9758.273614
102	9753.222506
103	9741.57315
104	9723.399665
105	9714.432588
106	9711.146432
107	9702.856855
108	9696.743226
109	9694.44084
110	9679.556849
111	9676.416516
112	9671.744331
113	9669.091693
114	9660.621507
115	9654.237073
116	9649.520417
117	9642.054961
118	9631.436956
119	9622.834186
120	9590.180016
121	9582.980442
122	9560.196213
123	9556.479954
124	9535.121448
125	9532.791877
126	9527.799999
127	9497.383619
128	9495.572271
129	9476.037935
130	9447.680467
131	9426.665436
132	9418.395612
133	9390.307384
134	9375.563013
135	9373.852571
136	9345.891698
137	9343.218221
138	9340.074483
139	9330.196044
140	9323.812116
141	9303.378864
142	9298.197342
143	9296.525713
144	9288.929809
145	9281.458458
146	9272.828792
147	9264.731588
148	9236.125311
149	9230.067967
150	9228.585738
151	9219.614043
152	9211.460932
153	9203.28711
154	9199.293888
155	9191.555686
156	9180.960328
