iter	Passed	Remaining
0	140	140664
1	166	83070
2	184	61165
3	204	50824
4	222	44182
5	246	40762
6	263	37377
7	282	35054
8	302	33314
9	320	31738
10	351	31583
11	369	30414
12	396	30080
13	413	29144
14	433	28464
15	452	27806
16	474	27411
17	493	26916
18	521	26943
19	577	28278
20	601	28050
21	619	27521
22	641	27266
23	662	26945
24	682	26622
25	705	26435
26	740	26703
27	759	26359
28	781	26166
29	798	25813
30	818	25599
31	836	25311
32	861	25238
33	884	25116
34	916	25274
35	933	24987
36	952	24785
37	970	24559
38	994	24498
39	1011	24264
40	1032	24153
41	1054	24057
42	1089	24249
43	1106	24047
44	1128	23944
45	1146	23782
46	1169	23708
47	1186	23538
48	1207	23425
49	1229	23368
50	1294	24090
51	1328	24218
52	1363	24371
53	1381	24197
54	1400	24057
55	1417	23895
56	1449	23977
57	1471	23894
58	1489	23757
59	1508	23626
60	1529	23539
61	1556	23542
62	1578	23478
63	1606	23500
64	1648	23718
65	1672	23662
66	1697	23644
67	1732	23744
68	1806	24370
69	1831	24334
70	1870	24476
71	1897	24452
72	1921	24396
73	1938	24257
74	1964	24223
75	1983	24111
76	2013	24138
77	2039	24104
78	2059	24008
79	2076	23881
80	2097	23793
81	2114	23677
82	2140	23645
83	2172	23690
84	2195	23633
85	2225	23656
86	2249	23606
87	2267	23503
88	2286	23407
89	2308	23343
90	2334	23317
91	2355	23243
92	2378	23194
93	2401	23150
94	2430	23153
95	2450	23072
96	2470	23002
97	2489	22916
98	2517	22907
99	2546	22917
100	2575	22928
101	2603	22920
102	2621	22826
103	2637	22724
104	2656	22646
105	2675	22566
106	2709	22614
107	2726	22522
108	2748	22469
109	2765	22379
110	2790	22345
111	2813	22307
112	2835	22258
113	2856	22201
114	2876	22137
115	2892	22044
116	2910	21962
117	2937	21954
118	2954	21875
119	2975	21820
120	2997	21774
121	3021	21743
122	3040	21677
123	3057	21599
124	3075	21528
125	3093	21457
126	3115	21416
127	3141	21400
128	3160	21336
129	3182	21298
130	3200	21233
131	3220	21176
132	3237	21104
133	3254	21032
134	3271	20961
135	3305	21002
136	3325	20945
137	3347	20908
138	3366	20853
139	3386	20802
140	3403	20736
141	3421	20672
142	3438	20609
143	3457	20554
144	3496	20618
145	3517	20576
146	3535	20515
147	3554	20462
148	3573	20410
149	3590	20343
150	3609	20295
151	3630	20256
152	3649	20203
153	3678	20209
154	3700	20172
155	3721	20132
156	3740	20083
157	3761	20045
158	3778	19987
159	3806	19983
160	3824	19928
161	3856	19951
162	3876	19906
163	3900	19884
164	3941	19948
165	3976	19976
166	4008	19993
167	4034	19982
168	4059	19961
169	4080	19924
170	4098	19867
171	4119	19830
172	4137	19778
173	4157	19736
174	4176	19689
175	4196	19646
176	4215	19600
177	4242	19591
178	4273	19602
179	4310	19637
180	4338	19629
181	4380	19689
182	4416	19717
183	4447	19725
184	4487	19770
185	4507	19724
186	4523	19665
187	4540	19610
188	4557	19558
189	4576	19509
190	4603	19499
191	4626	19469
192	4644	19420
193	4661	19365
194	4678	19312
195	4695	19261
196	4713	19211
197	4730	19162
198	4750	19121
199	4766	19065
200	4798	19073
201	4815	19023
202	4834	18980
203	4851	18930
204	4869	18882
205	4886	18832
206	4906	18794
207	4923	18745
208	4946	18719
209	4968	18690
210	4989	18658
211	5006	18610
212	5025	18566
213	5041	18518
214	5060	18475
215	5079	18438
216	5103	18413
217	5131	18406
218	5150	18368
219	5167	18320
220	5185	18276
221	5205	18242
222	5223	18200
223	5249	18186
224	5295	18238
225	5320	18220
226	5373	18298
227	5439	18416
228	5501	18520
229	5547	18570
230	5600	18644
231	5624	18619
232	5658	18627
233	5696	18646
234	5729	18650
235	5746	18603
236	5767	18569
237	5797	18562
238	5824	18547
239	5845	18510
240	5865	18472
241	5884	18432
242	5910	18412
243	5934	18386
244	5957	18358
245	5979	18328
246	5999	18291
247	6019	18252
248	6054	18261
249	6090	18271
250	6122	18268
251	6149	18253
252	6168	18211
253	6195	18195
254	6239	18230
255	6266	18210
256	6300	18215
257	6326	18194
258	6351	18172
259	6382	18165
260	6404	18134
261	6430	18112
262	6461	18107
263	6502	18127
264	6591	18283
265	6623	18276
266	6698	18390
267	6746	18428
268	6771	18400
269	6795	18371
270	6811	18322
271	6832	18288
272	6848	18237
273	6872	18209
274	6891	18169
275	6924	18164
276	6944	18125
277	6969	18099
278	6988	18058
279	7010	18027
280	7036	18004
281	7056	17966
282	7077	17931
283	7097	17894
284	7119	17861
285	7139	17823
286	7158	17784
287	7175	17739
288	7193	17698
289	7211	17655
290	7231	17618
291	7248	17574
292	7267	17536
293	7287	17500
294	7318	17488
295	7340	17459
296	7369	17443
297	7386	17400
298	7404	17358
299	7420	17315
300	7441	17280
301	7458	17238
302	7482	17212
303	7502	17177
304	7526	17150
305	7543	17107
306	7560	17066
307	7577	17025
308	7604	17006
309	7643	17012
310	7673	17000
311	7691	16960
312	7717	16940
313	7734	16898
314	7759	16873
315	7777	16833
316	7802	16811
317	7821	16775
318	7840	16737
319	7864	16712
320	7887	16683
321	7905	16645
322	7926	16613
323	7943	16572
324	7961	16536
325	7979	16497
326	7997	16459
327	8015	16422
328	8034	16386
329	8058	16360
330	8079	16330
331	8113	16325
332	8131	16286
333	8151	16253
334	8170	16219
335	8191	16187
336	8208	16149
337	8232	16124
338	8259	16104
339	8282	16078
340	8305	16050
341	8338	16042
342	8355	16004
343	8376	15972
344	8392	15933
345	8413	15903
346	8430	15865
347	8462	15854
348	8479	15816
349	8503	15791
350	8519	15753
351	8538	15718
352	8559	15688
353	8577	15652
354	8595	15616
355	8616	15586
356	8639	15560
357	8663	15535
358	8682	15502
359	8702	15471
360	8720	15436
361	8740	15404
362	8759	15371
363	8780	15341
364	8798	15306
365	8823	15285
366	8846	15257
367	8864	15223
368	8880	15186
369	8902	15157
370	8927	15135
371	8954	15116
372	8977	15091
373	9003	15070
374	9021	15035
375	9042	15007
376	9062	14976
377	9089	14956
378	9108	14924
379	9137	14907
380	9161	14884
381	9188	14865
382	9208	14834
383	9232	14810
384	9263	14797
385	9288	14775
386	9318	14759
387	9338	14729
388	9371	14719
389	9390	14686
390	9412	14660
391	9437	14638
392	9455	14604
393	9472	14569
394	9497	14546
395	9520	14520
396	9549	14505
397	9566	14469
398	9593	14449
399	9610	14416
400	9639	14398
401	9665	14378
402	9687	14350
403	9715	14332
404	9746	14318
405	9763	14284
406	9788	14261
407	9809	14233
408	9833	14209
409	9856	14184
410	9892	14176
411	9915	14150
412	9937	14123
413	9962	14102
414	9980	14068
415	10002	14041
416	10019	14008
417	10040	13979
418	10057	13946
419	10078	13917
420	10102	13894
421	10135	13882
422	10156	13853
423	10188	13841
424	10239	13853
425	10274	13844
426	10316	13844
427	10345	13826
428	10370	13802
429	10387	13769
430	10409	13741
431	10431	13714
432	10455	13691
433	10486	13675
434	10513	13654
435	10538	13632
436	10559	13604
437	10587	13584
438	10606	13553
439	10626	13525
440	10649	13499
441	10685	13490
442	10709	13465
443	10731	13438
444	10752	13410
445	10770	13378
446	10788	13346
447	10810	13320
448	10826	13285
449	10853	13265
450	10873	13235
451	10890	13203
452	10907	13171
453	10925	13140
454	10942	13107
455	10960	13075
456	10983	13050
457	11012	13032
458	11036	13007
459	11055	12978
460	11076	12950
461	11095	12920
462	11113	12889
463	11131	12859
464	11149	12827
465	11184	12816
466	11208	12792
467	11232	12768
468	11249	12736
469	11269	12708
470	11286	12676
471	11307	12649
472	11324	12617
473	11347	12592
474	11365	12561
475	11392	12541
476	11411	12511
477	11430	12483
478	11447	12451
479	11466	12421
480	11483	12391
481	11505	12365
482	11522	12334
483	11541	12304
484	11564	12279
485	11595	12263
486	11615	12236
487	11640	12213
488	11665	12190
489	11688	12165
490	11706	12135
491	11728	12109
492	11746	12079
493	11783	12069
494	11809	12048
495	11868	12060
496	11901	12044
497	11938	12034
498	11995	12043
499	12012	12012
500	12045	11997
501	12074	11978
502	12091	11947
503	12126	11934
504	12152	11911
505	12173	11884
506	12190	11853
507	12210	11825
508	12228	11796
509	12247	11766
510	12263	11735
511	12284	11708
512	12302	11679
513	12329	11657
514	12349	11630
515	12368	11601
516	12386	11571
517	12406	11543
518	12424	11514
519	12443	11486
520	12460	11455
521	12480	11428
522	12496	11397
523	12527	11380
524	12545	11350
525	12566	11323
526	12582	11293
527	12602	11265
528	12618	11234
529	12638	11207
530	12654	11177
531	12673	11148
532	12694	11122
533	12718	11098
534	12734	11068
535	12761	11047
536	12784	11022
537	12805	10996
538	12821	10966
539	12841	10938
540	12857	10908
541	12884	10887
542	12903	10859
543	12922	10832
544	12939	10802
545	12963	10779
546	12980	10749
547	13001	10723
548	13020	10696
549	13038	10667
550	13066	10647
551	13100	10631
552	13118	10603
553	13138	10576
554	13155	10547
555	13174	10520
556	13192	10492
557	13211	10464
558	13232	10439
559	13260	10418
560	13277	10389
561	13299	10365
562	13316	10335
563	13339	10311
564	13355	10282
565	13377	10257
566	13395	10229
567	13423	10209
568	13442	10182
569	13463	10156
570	13481	10128
571	13503	10103
572	13523	10077
573	13544	10051
574	13561	10023
575	13579	9995
576	13601	9971
577	13629	9951
578	13646	9922
579	13666	9896
580	13685	9869
581	13718	9852
582	13741	9828
583	13764	9805
584	13790	9783
585	13810	9756
586	13845	9741
587	13862	9712
588	13888	9691
589	13911	9666
590	13939	9646
591	13956	9618
592	13992	9603
593	14012	9577
594	14049	9562
595	14078	9543
596	14106	9522
597	14126	9496
598	14151	9473
599	14176	9450
600	14196	9424
601	14219	9400
602	14242	9376
603	14265	9353
604	14298	9335
605	14315	9307
606	14337	9282
607	14360	9258
608	14392	9240
609	14409	9212
610	14441	9194
611	14460	9167
612	14483	9143
613	14500	9115
614	14525	9093
615	14548	9069
616	14576	9048
617	14594	9020
618	14615	8996
619	14635	8970
620	14656	8944
621	14678	8920
622	14700	8896
623	14719	8869
624	14749	8849
625	14767	8822
