iter	RMSE
0	566262.1415
1	551073.6578
2	537548.0795
3	525274.5637
4	513228.3353
5	501374.2798
6	490773.7227
7	480271.8875
8	470128.759
9	461389.77
10	451957.6315
11	443866.7501
12	436690.4598
13	430142.5721
14	423511.5196
15	416885.9482
16	411372.2063
17	406285.2011
18	400791.2735
19	396220.1048
20	391838.8415
21	387659.39
22	383773.4123
23	380437.9917
24	376897.9988
25	373755.8129
26	371178.2142
27	368340.3114
28	365491.7533
29	362897.9724
30	360568.7617
31	358761.6688
32	356509.9372
33	354253.2807
34	352689.8004
35	350940.3429
36	349109.7987
37	347361.5251
38	345602.0812
39	344252.3687
40	342546.4125
41	341520.2139
42	340429.7624
43	339565.8483
44	338077.4234
45	336811.7969
46	335928.2637
47	334608.722
48	333725.4452
49	332903.9901
50	332370.2853
51	331886.5368
52	331084.6802
53	330339.3738
54	329465.1657
55	328784.2775
56	327701.1513
57	326769.7952
58	326014.6012
59	325371.1184
60	324534.3706
61	323857.6022
62	323075.769
63	322456.1032
64	322251.3811
65	321962.5287
66	321630.1456
67	321173.4978
68	320845.5191
69	320450.259
70	320300.6044
71	319720.4047
72	319431.8396
73	319281.3286
74	319178.2536
75	318621.3447
76	318416.7936
77	317806.0197
78	317278.5561
79	316975.2609
80	316387.6755
81	315880.3377
82	315649.972
83	315184.6688
84	314706.2437
85	314223.8026
86	313974.694
87	313649.2784
88	313229.4825
89	312910.6289
90	312621.1768
91	312224.9707
92	312027.4363
93	311536.1023
94	311379.0088
95	311048.1385
96	310549.7405
97	310248.5686
98	310165.3182
99	309842.9935
100	309303.6172
101	308861.2068
102	308433.4866
103	308271.527
104	307954.0146
105	307691.7352
106	307628.2204
107	307498.4441
108	307034.1166
109	306973.948
110	306788.9502
111	306447.0527
112	306272.5766
113	306213.3345
114	305806.4484
115	305736.4947
116	305305.6226
117	305247.3148
118	304764.5675
119	304359.8442
120	304141.4136
121	303701.0938
122	303444.823
123	303046.9434
124	302660.818
125	302356.6241
126	302116.5431
127	302058.1117
128	301560.1428
129	301186.8009
130	300767.1696
131	300407.2887
132	300032.241
133	299810.5312
134	299603.9763
135	299288.9426
136	299221.3679
137	299014.735
138	298811.3348
139	298331.2309
140	298135.7049
141	298017.9873
142	297944.0014
143	297921.4159
144	297511.1239
145	297493.0558
146	297417.983
147	297209.32
148	296383.6638
149	296180.9946
150	296003.7411
151	295860.932
152	295699.3958
153	295130.5128
154	295035.4255
155	294769.2211
156	294352.465
157	294223.7257
158	294188.326
159	293829.792
160	293604.0492
161	293338.8083
162	293130.6193
163	292793.9735
164	292582.9983
165	292558.1304
166	292153.5704
167	291982.3389
168	291729.0484
169	291568.0066
170	291088.1835
171	290954.4687
172	290870.4208
173	290650.2295
174	290590.1066
175	290222.8266
176	289665.895
177	289460.6456
178	289301.18
179	289231.7144
180	288791.9058
181	288595.4547
182	288338.584
183	288048.4424
184	287723.9705
185	287438.8588
186	287186.2642
187	287046.7159
188	287001.3977
189	286578.8975
190	286134.2132
191	285920.2275
192	285576.8649
193	285146.4788
194	285082.0764
195	284749.9534
196	284488.1688
197	284273.5065
198	284108.4827
199	283736.9287
200	283433.6429
201	283057.465
202	282678.2091
203	282376.7503
204	282259.5478
205	281967.2927
206	281729.501
207	281510.0524
208	281229.5118
209	280869.4655
210	280732.6468
211	280436.2561
212	280213.8965
213	279938.4531
214	279675.0813
215	279529.3088
216	279401.0284
217	279053.2772
218	278795.8267
219	278543.3739
220	278365.2035
221	278124.3253
222	277801.9546
223	277575.3906
224	277418.1511
225	277089.9667
226	276863.7054
227	276539.4435
228	276319.7541
229	276106.3411
230	275898.9761
231	275697.4425
232	275488.929
233	275286.1649
234	275089.9201
235	274899.1196
236	274713.2747
237	274608.9948
238	274383.5355
239	274207.7381
240	274036.7443
241	273829.6704
242	273668.1655
243	273601.5008
244	273444.3483
245	273299.5046
246	273113.4686
247	272968.7764
248	272434.815
249	272294.1698
250	272124.9012
251	271961.7702
252	271685.5528
253	271556.4154
254	271364.3397
255	270953.8663
256	270828.9548
257	270535.2273
258	270380.7051
259	270196.3813
260	270039.9302
261	269952.0893
262	269704.4592
263	269556.2495
264	269274.8564
265	269001.1727
266	268735.2728
267	268261.3343
268	268164.7921
269	267974.715
270	267643.4063
271	267384.6824
272	267267.371
273	267108.2915
274	266969.1014
275	266745.3663
276	266607.4639
277	266433.9294
278	266129.9624
279	265907.814
280	265698.7627
281	265454.1747
282	265282.3185
283	265110.2017
284	264874.2818
285	264554.9001
286	264351.9177
287	264212.688
288	264037.9534
