iter	Passed	Remaining
0	60	60252
1	64	32411
2	69	23171
3	76	19093
4	82	16428
5	87	14539
6	92	13128
7	96	11960
8	99	10986
9	102	10151
10	105	9506
11	108	8926
12	111	8441
13	113	8025
14	117	7715
15	120	7413
16	123	7156
17	126	6899
18	130	6753
19	135	6636
20	138	6442
21	142	6337
22	145	6176
23	148	6043
24	151	5906
25	155	5814
26	157	5674
27	160	5576
28	169	5662
29	171	5552
30	174	5465
31	177	5355
32	180	5289
33	183	5208
34	186	5136
35	198	5304
36	201	5243
37	204	5170
38	209	5163
39	215	5161
40	217	5096
41	221	5062
42	226	5045
43	230	5004
44	234	4978
45	237	4929
46	240	4880
47	244	4848
48	247	4801
49	251	4776
50	254	4730
51	256	4684
52	263	4702
53	266	4664
54	269	4622
55	273	4604
56	276	4566
57	278	4530
58	282	4503
59	285	4472
60	288	4442
61	295	4467
62	298	4434
63	301	4403
64	303	4372
65	307	4348
66	310	4317
67	313	4291
68	315	4261
69	319	4242
70	324	4246
71	330	4257
72	333	4236
73	336	4208
74	340	4201
75	343	4178
76	346	4155
77	349	4130
78	352	4106
79	354	4081
80	362	4116
81	365	4093
82	368	4071
83	371	4048
84	374	4026
85	376	4005
86	379	3983
87	382	3961
88	384	3940
89	387	3920
90	390	3898
91	393	3881
92	395	3861
93	398	3840
94	401	3820
95	403	3804
96	407	3789
97	409	3772
98	412	3755
99	415	3739
100	418	3722
101	420	3704
102	423	3686
103	426	3670
104	428	3653
105	431	3636
106	433	3620
107	436	3603
108	438	3586
109	441	3570
110	445	3565
111	450	3572
112	453	3559
113	456	3545
114	459	3534
115	461	3519
116	464	3504
117	467	3492
118	470	3484
119	474	3476
120	476	3463
121	482	3474
122	486	3469
123	489	3456
124	493	3454
125	496	3443
126	499	3436
127	502	3424
128	505	3412
129	508	3403
130	512	3401
131	516	3395
132	520	3393
133	523	3381
134	527	3380
135	530	3368
136	532	3353
137	535	3342
138	537	3331
139	541	3323
140	544	3316
141	547	3305
142	550	3296
143	553	3289
144	556	3280
145	558	3265
146	561	3255
147	563	3246
148	567	3238
149	569	3229
150	572	3220
151	575	3210
152	578	3203
153	581	3196
154	584	3188
155	589	3188
156	592	3179
157	594	3170
158	598	3163
159	601	3157
160	604	3151
161	607	3144
162	610	3135
163	613	3127
164	616	3118
165	619	3110
166	622	3104
167	625	3099
168	629	3093
169	632	3088
170	635	3080
171	638	3072
172	641	3064
173	644	3057
174	647	3051
175	650	3044
176	653	3037
177	655	3029
178	659	3023
179	661	3015
180	664	3007
181	667	2999
182	670	2992
183	673	2985
184	676	2978
185	679	2972
186	682	2969
187	688	2973
188	691	2968
189	694	2961
190	697	2953
191	700	2948
192	703	2941
193	706	2936
194	709	2929
195	712	2921
196	715	2915
197	717	2907
198	720	2900
199	723	2892
200	725	2884
201	728	2876
202	730	2869
203	733	2861
204	736	2854
205	738	2848
206	741	2841
207	745	2839
208	748	2833
209	751	2828
210	755	2823
211	757	2817
212	760	2809
213	763	2802
214	766	2798
215	769	2793
216	772	2786
217	777	2787
218	779	2780
219	782	2775
220	784	2766
221	787	2760
222	790	2753
223	792	2746
224	795	2741
225	798	2734
226	801	2728
227	803	2721
228	806	2715
229	809	2709
230	812	2703
231	814	2696
232	817	2690
233	819	2684
234	822	2677
235	825	2671
236	827	2664
237	830	2658
238	834	2655
239	836	2649
240	839	2643
241	841	2636
242	844	2630
243	847	2624
244	849	2618
245	852	2611
246	854	2605
247	857	2600
248	860	2594
249	865	2595
250	867	2589
251	870	2583
252	872	2576
253	875	2570
254	877	2564
255	880	2559
256	883	2554
257	886	2548
258	890	2549
259	938	2672
260	941	2666
261	944	2660
262	947	2656
263	950	2650
264	953	2644
265	956	2638
266	958	2632
267	962	2627
268	965	2622
269	974	2635
270	1036	2789
271	1039	2782
272	1048	2791
273	1051	2785
274	1054	2778
275	1057	2772
276	1060	2766
277	1063	2761
278	1066	2755
279	1069	2750
280	1073	2746
281	1092	2780
282	1095	2774
283	1098	2768
284	1102	2765
285	1105	2760
286	1110	2758
287	1113	2752
288	1116	2745
289	1120	2743
290	1129	2752
291	1132	2746
292	1141	2755
293	1144	2748
294	1147	2742
295	1150	2737
296	1153	2730
297	1158	2729
298	1161	2724
299	1164	2717
300	1167	2711
301	1170	2705
302	1173	2699
303	1176	2693
304	1179	2687
305	1181	2680
306	1185	2675
307	1188	2669
308	1190	2663
309	1193	2656
310	1196	2651
311	1199	2646
312	1202	2639
313	1206	2635
314	1208	2629
315	1211	2622
316	1214	2616
317	1217	2610
318	1220	2604
319	1223	2599
320	1226	2593
321	1229	2588
322	1232	2582
323	1235	2577
324	1238	2571
325	1242	2569
326	1245	2563
327	1248	2557
328	1251	2551
329	1254	2546
330	1257	2541
331	1260	2535
332	1263	2530
333	1265	2524
334	1275	2531
335	1278	2526
336	1281	2521
337	1284	2515
338	1287	2509
339	1289	2503
340	1293	2499
341	1296	2494
342	1299	2488
343	1302	2483
344	1309	2485
345	1311	2479
346	1314	2474
347	1318	2469
348	1321	2465
349	1324	2460
350	1328	2456
351	1332	2452
352	1335	2448
353	1345	2455
354	1349	2451
355	1352	2446
356	1356	2442
357	1358	2436
358	1362	2433
359	1365	2428
360	1369	2423
361	1372	2418
362	1383	2427
363	1385	2421
364	1388	2416
365	1392	2412
366	1396	2408
367	1399	2402
368	1402	2398
369	1405	2393
370	1409	2389
371	1417	2393
372	1420	2388
373	1423	2382
374	1426	2377
375	1429	2372
376	1433	2368
377	1436	2363
378	1439	2358
379	1442	2353
380	1450	2356
381	1453	2351
382	1456	2346
383	1459	2341
384	1462	2336
385	1465	2331
386	1468	2325
387	1471	2320
388	1474	2316
389	1479	2313
390	1482	2308
391	1485	2303
392	1489	2301
393	1492	2295
394	1495	2290
395	1498	2285
396	1502	2281
397	1505	2276
398	1512	2278
399	1516	2274
400	1519	2270
401	1523	2266
402	1526	2261
403	1529	2256
404	1532	2251
405	1535	2246
406	1538	2241
407	1546	2243
408	1549	2238
409	1552	2234
410	1556	2230
411	1559	2225
412	1563	2221
413	1567	2219
414	1572	2216
415	1576	2213
416	1579	2208
417	1584	2205
418	1588	2202
419	1590	2196
420	1593	2191
421	1597	2187
422	1600	2183
423	1603	2178
424	1610	2179
425	1613	2174
426	1616	2169
427	1619	2163
428	1622	2159
429	1624	2153
430	1627	2148
431	1630	2143
432	1632	2138
433	1635	2133
434	1640	2130
435	1642	2125
436	1645	2120
437	1648	2115
438	1651	2110
439	1654	2105
440	1657	2100
441	1660	2095
442	1663	2091
443	1665	2086
444	1668	2081
445	1671	2076
446	1674	2071
447	1677	2066
448	1680	2061
449	1682	2056
450	1685	2051
451	1688	2047
452	1691	2042
453	1694	2038
454	1697	2033
455	1700	2028
456	1704	2024
457	1706	2019
458	1709	2015
459	1712	2010
460	1716	2007
461	1719	2002
462	1723	1998
463	1731	2000
464	1735	1996
465	1738	1991
466	1741	1987
467	1744	1983
468	1747	1978
469	1750	1974
470	1753	1969
471	1765	1975
472	1768	1970
473	1771	1965
474	1774	1961
475	1778	1957
476	1781	1952
477	1783	1948
478	1787	1943
479	1789	1939
480	1792	1934
481	1801	1936
482	1804	1931
483	1807	1926
484	1810	1922
485	1814	1919
486	1817	1914
487	1820	1909
488	1822	1905
489	1826	1900
490	1830	1897
491	1833	1893
492	1836	1888
493	1839	1883
494	1842	1879
495	1845	1875
496	1848	1871
497	1851	1866
498	1855	1863
499	1859	1859
500	1870	1863
501	1874	1859
502	1878	1855
503	1882	1852
504	1885	1848
505	1888	1844
506	1891	1839
507	1896	1836
508	1903	1836
509	1906	1831
510	1911	1829
511	1914	1824
512	1917	1820
513	1920	1815
514	1924	1812
515	1927	1808
516	1930	1803
517	1933	1799
518	1936	1795
519	1942	1792
520	1945	1788
521	1949	1785
522	1952	1780
523	1955	1776
524	1959	1772
525	1962	1768
526	1966	1764
527	1969	1760
528	1973	1756
529	1976	1752
530	1979	1748
531	1982	1743
532	1985	1739
533	1988	1735
534	1991	1731
535	2002	1733
536	2016	1738
537	2019	1734
538	2023	1730
539	2026	1726
540	2029	1722
541	2032	1717
542	2035	1713
543	2043	1713
544	2053	1714
545	2056	1709
546	2058	1704
547	2062	1701
548	2065	1696
549	2068	1692
550	2070	1687
551	2074	1683
552	2077	1678
553	2087	1680
554	2090	1676
555	2093	1671
556	2096	1667
557	2099	1662
558	2102	1658
559	2105	1654
560	2108	1649
561	2110	1645
562	2113	1640
563	2116	1636
564	2119	1631
565	2122	1627
566	2125	1622
567	2127	1618
568	2130	1613
569	2133	1609
570	2135	1604
571	2138	1600
572	2141	1595
573	2144	1591
574	2147	1586
575	2149	1582
576	2152	1578
577	2155	1574
578	2158	1569
579	2161	1565
580	2164	1560
581	2166	1556
582	2171	1553
583	2174	1549
584	2177	1544
585	2180	1540
586	2183	1536
587	2186	1532
588	2189	1527
589	2191	1523
590	2194	1518
591	2197	1514
592	2203	1512
593	2205	1507
594	2208	1503
595	2211	1499
596	2214	1494
597	2217	1490
598	2220	1486
599	2223	1482
600	2225	1477
601	2228	1473
602	2232	1469
603	2235	1465
604	2238	1461
605	2241	1457
606	2244	1453
607	2248	1449
608	2252	1446
609	2256	1442
610	2264	1441
611	2274	1442
612	2278	1438
613	2282	1434
614	2285	1431
615	2288	1426
616	2292	1422
617	2295	1418
618	2298	1414
619	2301	1410
620	2304	1406
621	2307	1402
622	2310	1398
623	2312	1393
624	2315	1389
625	2318	1385
626	2321	1380
627	2323	1376
628	2326	1372
629	2329	1367
630	2331	1363
631	2334	1359
632	2337	1355
633	2340	1351
634	2342	1346
635	2345	1342
636	2348	1338
637	2351	1334
638	2354	1330
639	2359	1327
640	2362	1323
641	2365	1319
642	2368	1315
643	2371	1310
644	2374	1306
645	2377	1302
646	2380	1298
647	2382	1294
648	2385	1290
649	2390	1287
650	2393	1282
651	2395	1278
652	2398	1274
653	2401	1270
654	2404	1266
655	2407	1262
656	2410	1258
657	2413	1254
658	2416	1250
659	2419	1246
660	2422	1242
661	2425	1238
662	2427	1234
663	2430	1229
664	2433	1225
665	2436	1221
666	2439	1217
667	2442	1214
668	2449	1211
669	2452	1207
670	2455	1203
671	2458	1199
672	2461	1195
673	2463	1191
674	2466	1187
675	2469	1183
676	2472	1179
677	2475	1175
678	2481	1172
679	2483	1168
680	2486	1164
681	2489	1160
682	2492	1156
683	2495	1152
684	2498	1148
685	2500	1144
686	2503	1140
687	2506	1136
688	2509	1132
689	2512	1128
690	2515	1124
691	2518	1120
692	2521	1116
693	2524	1113
694	2527	1109
695	2530	1105
696	2532	1101
697	2536	1097
698	2539	1093
699	2541	1089
700	2544	1085
701	2547	1081
702	2549	1077
703	2552	1073
704	2555	1069
705	2557	1065
706	2560	1061
707	2564	1057
708	2567	1053
709	2570	1049
710	2572	1045
711	2575	1041
712	2578	1037
713	2581	1033
714	2583	1029
715	2586	1025
716	2589	1022
717	2595	1019
718	2597	1015
719	2600	1011
720	2603	1007
721	2606	1003
722	2609	999
723	2611	995
724	2614	991
725	2616	987
726	2619	983
727	2622	979
728	2624	975
729	2627	971
730	2629	967
731	2632	963
732	2635	959
733	2637	955
734	2640	952
735	2644	948
736	2647	944
737	2650	940
738	2657	938
739	2661	935
740	2664	931
741	2667	927
742	2669	923
743	2672	919
744	2675	915
745	2678	911
746	2680	907
747	2683	904
748	2686	900
749	2688	896
750	2691	892
751	2694	888
752	2696	884
753	2699	880
754	2702	876
755	2705	873
756	2707	869
757	2710	865
758	2712	861
759	2715	857
760	2718	853
761	2720	849
762	2723	845
763	2726	842
764	2729	838
765	2732	834
766	2734	830
767	2737	827
768	2740	823
769	2742	819
770	2745	815
771	2748	811
772	2751	808
773	2755	804
774	2759	801
775	2761	797
776	2764	793
777	2767	789
778	2770	786
779	2773	782
780	2775	778
781	2779	774
782	2781	770
783	2784	767
784	2787	763
785	2790	759
786	2792	755
787	2795	752
788	2797	748
789	2800	744
790	2803	740
791	2805	736
792	2808	733
793	2811	729
794	2814	725
795	2816	721
796	2819	718
797	2822	714
798	2824	710
799	2827	706
800	2830	703
801	2832	699
802	2836	695
803	2839	692
804	2842	688
805	2844	684
806	2847	681
807	2850	677
808	2853	673
809	2857	670
810	2860	666
811	2863	662
812	2869	659
813	2871	656
814	2874	652
815	2876	648
816	2880	645
817	2882	641
818	2885	637
819	2888	634
820	2891	630
821	2894	626
822	2897	623
